YearStart,YearEnd,StateAbbr,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Topic,Category,Question,Response,Age,Sex,RaceEthnicity,RiskFactor,RiskFactorResponse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_limit,High_Confidence_Limit,Numerator,LocationID,GeoLocation,TopicID,CategoryID,QuestionID,ResponseID,DataValueTypeID,AgeID,SexID,RaceEthnicityID,RiskFactorID,RiskFactorResponseID,NonWeightedSample,WeightedSample,SampleSize
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,65 years and older,Both sexes,Other,Diabetes,Yes,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,CRDPREV,AGE65PLUS,GALL,OTH,RFDM,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,65 years and older,Both sexes,"Hispanic, any race",Diabetes,No,%,Crude Prevalence,13.9,,,9.3,19.68,338053,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,CRDPREV,AGE65PLUS,GALL,HISP,RFDM,RFNO,358,2432052,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65 years and older,Both sexes,All races,Residential care,Yes,%,Crude Prevalence,52.27,,,43.88,60.57,1053237,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,CRDPREV,AGE65PLUS,GALL,ALLRACE,RFRES,RFYES,299,2015067,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,80-84 years,Female,All races,All participants,Total,%,Crude Prevalence,19.63,,,15.39,24.45,622519,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,CRDPREV,AGE8084,GF,ALLRACE,RFAPAR,RFTOT,646,3170649,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,65 years and older,Female,All races,Diabetes,Yes,%,Age-adjusted Prevalence,2.9,,,1.68,4.12,166734,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,AGEADJPREV,AGE65PLUS,GF,ALLRACE,RFDM,RFYES,826,5749444,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,65 years and older,Both sexes,"Black, non-Hispanic",Residential care,No,%,Crude Prevalence,26.04,,,21.97,30.45,1014827,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE65PLUS,GALL,BLK,RFRES,RFNO,1033,3896958,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,80-84 years,Both sexes,All races,Diabetes,No,%,Crude Prevalence,31.28,,,27.91,34.81,1256075,59,,TVFUNC,CVISAC,QPVISA,RVPANY,CRDPREV,AGE8084,GALL,ALLRACE,RFDM,RFNO,765,4015358,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,70-74 years,Both sexes,All races,Residential care,No,%,Crude Prevalence,16.63,,,13.54,20.11,2359710,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE7074,GALL,ALLRACE,RFRES,RFNO,995,14186452,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65 years and older,Both sexes,"Black, non-Hispanic",All participants,Total,%,Age-adjusted Prevalence,71.86,,,68.06,75.66,2905017,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,AGEADJPREV,AGE65PLUS,GALL,BLK,RFAPAR,RFTOT,1065,4042607,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with any near acuity loss,80-84 years,Male,All races,All participants,Total,%,Crude Prevalence,52.6,,,46.45,58.7,1277162,59,,TVFUNC,CVISAC,QPNEAR,RVPNEAR,CRDPREV,AGE8084,GM,ALLRACE,RFAPAR,RFTOT,480,2427877,
